step,train_loss,learning_rate,tokens_per_sec
10,1.908647,6.38e-06,196.0
20,1.371000,1.35e-05,236.4
30,1.231406,2.06e-05,199.0
40,1.163481,2.77e-05,206.7
50,1.286283,3.48e-05,233.0
60,1.198166,4.18e-05,210.1
70,1.049878,4.89e-05,196.3
80,1.388447,5.60e-05,219.7
90,1.093172,6.31e-05,199.0
100,1.099077,7.02e-05,205.8
110,1.160007,7.73e-05,206.7
120,1.209254,8.44e-05,217.1
130,1.293893,9.15e-05,219.6
140,1.258407,9.86e-05,223.2
150,1.085291,1.06e-04,207.3
160,0.902864,1.13e-04,186.7
170,1.167568,1.20e-04,209.8
180,1.130771,1.27e-04,206.5
190,1.224028,1.34e-04,207.8
200,1.146729,1.41e-04,203.7
210,1.229155,1.48e-04,208.2
220,1.191546,1.55e-04,223.5
230,1.168617,1.62e-04,200.7
240,1.338324,1.70e-04,192.5
250,1.142194,1.77e-04,192.1
260,1.202643,1.84e-04,190.0
270,1.641484,1.91e-04,215.8
280,1.476418,1.98e-04,198.9
290,3.259875,2.00e-04,210.4
300,3.642677,2.00e-04,179.1
310,15.234589,2.00e-04,211.7
320,9.989155,2.00e-04,200.5
330,6.671680,2.00e-04,199.3
340,5.818046,2.00e-04,205.8
350,5.149862,2.00e-04,211.1
360,5.112968,2.00e-04,228.6
370,4.382356,2.00e-04,188.7
380,4.540968,2.00e-04,201.8
390,4.661105,2.00e-04,203.9
400,4.646440,2.00e-04,236.1
410,4.192574,2.00e-04,205.7
420,4.396267,2.00e-04,221.1
430,4.323269,2.00e-04,203.1
440,4.335255,2.00e-04,217.7
450,4.144592,2.00e-04,200.7
460,4.280044,2.00e-04,209.2
470,4.159375,2.00e-04,222.4
480,4.035413,2.00e-04,206.6
490,4.049436,2.00e-04,201.0
500,4.273785,2.00e-04,223.3
510,4.053477,2.00e-04,202.9
520,4.147815,2.00e-04,219.6
530,4.204531,2.00e-04,222.1
540,4.095596,2.00e-04,205.6
550,4.401321,2.00e-04,224.0
560,3.823926,2.00e-04,187.2
570,4.159649,2.00e-04,205.4
580,3.915254,2.00e-04,196.5
590,3.830510,1.99e-04,189.0
600,4.015518,1.99e-04,216.0
610,3.937231,1.99e-04,215.7
620,3.946806,1.99e-04,213.1
630,4.029243,1.99e-04,213.0
640,4.022313,1.99e-04,222.5
650,3.556940,1.99e-04,179.3
660,3.925116,1.99e-04,202.3
670,3.824016,1.99e-04,199.5
680,3.766058,1.99e-04,190.3
690,3.785645,1.99e-04,203.2
700,3.859003,1.99e-04,194.3
710,3.687420,1.99e-04,186.9
720,3.618779,1.99e-04,199.3
730,3.770660,1.99e-04,210.5
740,4.151874,1.99e-04,232.1
750,3.659227,1.99e-04,188.9
760,3.973230,1.99e-04,212.1
770,3.932806,1.99e-04,211.1
780,3.974761,1.99e-04,208.2
